design_job_name,design_market,design_contractor,design_status,design_psa_cd,design_ecd,design_aop_clli,design_cm_project_tracking_number,design_associated_project,design_proj_num,design_no_build,design_no_build_reason,demand_id,demand_business,demand_residential,demand_provisioned,demand_fst,fst_id,fst_name,fst_build_status,fst_asset_id,dist_cluster_id,dist_cluster_type,dist_cluster_pfp_name,dist_cluster_olt_name,drop_cluster_id,drop_cluster_term_name,mdu_boundary_id,mdu_boundary_name,mdu_boundary_coil_ids,mdu_boundary_coil_notes,mdu_boundary_coil_structures,id,cbg,blockcode,ll_uuid,a_lon,a_lat,bain_use,private_access_b,commercial_b,building_b,build_cluster_b,clstrid,derived,cost_customer_location,cable_ft_hh,irr_cbg,irr_cb,f1_penetrationwithindex,lumi_archetype_cbg,lumi_archetype_cb,pct_fttp,mdu_subsid,old_build_,market,distance_to_build_sfu,att_segment,build_map_status,a_geoid,a_address,a_scity,a_county,a_state2,a_szip,a_szip5,a_carte,a_crtype,a_saddno,a_saddpref,a_saddstr,a_saddstsuf,a_saddsttyp,a_default_match,a_geocodetype,glid,gis_streetnr,gis_streetprefix,gis_streetname,gis_streettype,gis_streetsuffix,gis_postcode,gis_city,gis_stateorprovince,gis_country,gis_latitude,gis_longitude,gis_matchcode,gis_locationcode,gis_streetdirection,deleted,iqg_updated_fields,unit,sn_asset_id,no_build_reason,fiber_jack,jack_loc,inv_status,build_status,gc_classification,gis_unit_type,gis_unit_value,gis_postalcodeplus4
PSA-4804PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4804PA,1/10/2024,BRVLMNYF,,,PSA-4804PA-BRVLMNYF-CHARLIE,FALSE,,13123154,0,1,FALSE,Yes,183796,F 4359 METCALF DR,,,5223,64,F 11151 RIVER HILLS DR PFP,BRVLMNYF,143215,F 4359 METCALF DR,,,,,,13123154,2.70371E+11,2.70371E+14,5f5d620b-05ca-4a5f-ae9c-bf28e6635534,-93.22351074,44.79933929,Res-SFU,0,0,0,1,,CBG Clustered,508,26,0.213982001,0,43.85934448,3,3,0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,4370 Metcalf Dr,Saint Paul,DAKOTA,MN,55122-1919,55122,C057,C,4370,,Metcalf,,Dr,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4804PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4804PA,1/10/2024,BRVLMNYF,,,PSA-4804PA-BRVLMNYF-CHARLIE,FALSE,,13129483,0,1,FALSE,Yes,183779,F 11200 LEWIS CT,,,5223,64,F 11151 RIVER HILLS DR PFP,BRVLMNYF,143207,F 11200 LEWIS CT,,,,,,13129483,2.70371E+11,2.70371E+14,aac6b156-f601-4a79-927a-4b6a9e3b3142,-93.22799683,44.80046082,Res-SFU,0,0,0,1,,CBG Clustered,596,31,0.185513005,0,40.83209229,3,3,0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,11201 Lewis Ct,Burnsville,DAKOTA,MN,55337-3219,55337,C004,C,11201,,Lewis,,Ct,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4804PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4804PA,1/10/2024,BRVLMNYF,,,PSA-4804PA-BRVLMNYF-CHARLIE,FALSE,,13123175,0,1,FALSE,Yes,183793,F 4323 METCALF DR,,,5223,64,F 11151 RIVER HILLS DR PFP,BRVLMNYF,143212,F 4323 METCALF DR,,,,,,13123175,2.70371E+11,2.70371E+14,1a740d03-ecfc-48d3-aed6-1ccd23c9f238,-93.22547913,44.80036926,Res-SFU,0,0,0,1,,CBG Clustered,508,26,0.213982001,0,43.85934448,3,3,0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,4323 Metcalf Dr,Saint Paul,DAKOTA,MN,55122-1922,55122,C057,C,4323,,Metcalf,,Dr,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4804PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4804PA,1/10/2024,BRVLMNYF,,,PSA-4804PA-BRVLMNYF-CHARLIE,FALSE,,13129466,0,1,FALSE,Yes,183779,F 11200 LEWIS CT,,,5223,64,F 11151 RIVER HILLS DR PFP,BRVLMNYF,143207,F 11200 LEWIS CT,,,,,,13129466,2.70371E+11,2.70371E+14,43ff2fbd-be69-488b-a72b-e3f272716108,-93.22786713,44.80109024,SFU-like,0,0,0,1,,CBG Clustered,596,31,0.185513005,0,40.83209229,3,3,0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,A,Final,27037,3414 E 112th St,Burnsville,DAKOTA,MN,55337-3201,55337,C004,C,3414,E,112th,,St,0,GCRT,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4804PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4804PA,1/10/2024,BRVLMNYF,,,PSA-4804PA-BRVLMNYF-CHARLIE,FALSE,,13129500,0,1,FALSE,Yes,183783,F 11204 LEWIS CT,,,5223,64,F 11151 RIVER HILLS DR PFP,BRVLMNYF,143205,F 11204 LEWIS CT,,,,,,13129500,2.70371E+11,2.70371E+14,fc78a3f4-0359-43c0-bb8e-914950e72813,-93.22875214,44.79996109,Res-SFU,0,0,0,1,,CBG Clustered,596,31,0.185513005,0,40.83209229,3,3,0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,A,Final,27037,11208 Lewis Ct,Burnsville,DAKOTA,MN,55337-3219,55337,C004,C,11208,,Lewis,,Ct,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4804PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4804PA,1/10/2024,BRVLMNYF,,,PSA-4804PA-BRVLMNYF-CHARLIE,FALSE,,13123521,0,1,FALSE,Yes,183802,F 4328 MEDARY AVE,,,5223,64,F 11151 RIVER HILLS DR PFP,BRVLMNYF,143210,F 4328 MEDARY AVE,,,,,,13123521,2.70371E+11,2.70371E+14,c0f46989-de23-46bd-9f27-baeeba070ae6,-93.22707367,44.80012894,Res-SFU,0,0,0,1,,CBG Clustered,508,26,0.213982001,0,43.85934448,3,3,0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,A,Final,27037,4325 Medary Ave,Saint Paul,DAKOTA,MN,55122-1917,55122,C057,C,4325,,Medary,,Ave,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4804PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4804PA,1/10/2024,BRVLMNYF,,,PSA-4804PA-BRVLMNYF-CHARLIE,FALSE,,13129480,0,1,FALSE,Yes,183783,F 11204 LEWIS CT,,,5223,64,F 11151 RIVER HILLS DR PFP,BRVLMNYF,143205,F 11204 LEWIS CT,,,,,,13129480,2.70371E+11,2.70371E+14,3c6d050a-97a7-4d8d-9e73-18f25436f467,-93.22799683,44.7999382,Res-SFU,0,0,0,1,,CBG Clustered,596,31,0.185513005,0,40.83209229,3,3,0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,11209 Lewis Ct,Burnsville,DAKOTA,MN,55337-3219,55337,C004,C,11209,,Lewis,,Ct,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4804PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4804PA,1/10/2024,BRVLMNYF,,,PSA-4804PA-BRVLMNYF-CHARLIE,FALSE,,13129479,0,1,FALSE,Yes,183783,F 11204 LEWIS CT,,,5223,64,F 11151 RIVER HILLS DR PFP,BRVLMNYF,143205,F 11204 LEWIS CT,,,,,,13129479,2.70371E+11,2.70371E+14,3b94ec9d-8245-44ad-bb08-43e53d25608a,-93.22799683,44.79967117,Res-SFU,0,0,0,1,,CBG Clustered,596,31,0.185513005,0,40.83209229,3,3,0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,11213 Lewis Ct,Burnsville,DAKOTA,MN,55337-3219,55337,C004,C,11213,,Lewis,,Ct,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4804PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4804PA,1/10/2024,BRVLMNYF,,,PSA-4804PA-BRVLMNYF-CHARLIE,FALSE,,13123515,0,1,FALSE,Yes,183789,F 4305 METCALF DR,,,5223,64,F 11151 RIVER HILLS DR PFP,BRVLMNYF,143208,F 4305 METCALF DR,,,,,,13123515,2.70371E+11,2.70371E+14,521b4cc3-443a-4ccc-9a86-773d19f2dbb7,-93.22757721,44.80038071,Res-SFU,0,0,0,1,,CBG Clustered,508,26,0.213982001,0,43.85934448,3,3,0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,A,Final,27037,4303 Metcalf Dr,Saint Paul,DAKOTA,MN,55122-1928,55122,C057,C,4303,,Metcalf,,Dr,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4804PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4804PA,1/10/2024,BRVLMNYF,,,PSA-4804PA-BRVLMNYF-CHARLIE,FALSE,,13123513,0,1,FALSE,Yes,183789,F 4305 METCALF DR,,,5223,64,F 11151 RIVER HILLS DR PFP,BRVLMNYF,143208,F 4305 METCALF DR,,,,,,13123513,2.70371E+11,2.70371E+14,41026c60-c5be-4523-a3a2-0e1fb6581d7c,-93.22724152,44.80041122,Res-SFU,0,0,0,1,,CBG Clustered,508,26,0.213982001,0,43.85934448,3,3,0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,A,Final,27037,4305 Metcalf Dr,Saint Paul,DAKOTA,MN,55122-1928,55122,C057,C,4305,,Metcalf,,Dr,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
