House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status
1750,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OQ96,ENC 1798TAMLN-1601,1750 HAMMOCK BLVD,
1752,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OW6J,ENC 1798TAMLN-1601,1752 HAMMOCK BLVD,
1754,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006ORMG,ENC 1798TAMLN-1601,1754 HAMMOCK BLVD,
1756,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OUCI,ENC 1798TAMLN-1601,1756 HAMMOCK BLVD,
1758,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OPY1,ENC 1798TAMLN-1601,1758 HAMMOCK BLVD,
1760,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006OUFD,ENC 1798TAMLN-1601,1760 HAMMOCK BLVD,
1762,HAMMOCK BLVD,COCNUT CRK,33063,UNIT,408,,,,,610705,000025OXLS,ENC 1798TAMLN-1601,1762 HAMMOCK BLVD UNIT 408,
1762,HAMMOCK BLVD,COCNUT CRK,33063,,,,,,,610705,000006ORQR,ENC 1798TAMLN-1601,1762 HAMMOCK BLVD,
1791,SATINWOOD CIR,COCNUT CRK,33063,,,,,,,610705,000006ORC1,ENC 1798TAMLN-1601,1791 SATINWOOD CIR,
1793,SATINWOOD CIR,COCNUT CRK,33063,,,,,,,610705,000006OVGA,ENC 1798TAMLN-1601,1793 SATINWOOD CIR,
1795,SATINWOOD CIR,COCNUT CRK,33063,,,,,,,610705,000006OUSQ,ENC 1798TAMLN-1601,1795 SATINWOOD CIR,
1797,SATINWOOD CIR,COCNUT CRK,33063,,,,,,,610705,000006OR5M,ENC 1798TAMLN-1601,1797 SATINWOOD CIR,
1799,SATINWOOD CIR,COCNUT CRK,33063,,,,,,,610705,000006ORTQ,ENC 1798TAMLN-1601,1799 SATINWOOD CIR,
1801,SATINWOOD CIR,COCNUT CRK,33063,,,,,,,610705,000006OSZS,ENC 1798TAMLN-1601,1801 SATINWOOD CIR,
4744,SATINWOOD TR,COCNUT CRK,33063,,,,,,,610705,000006OTZN,ENC 1798TAMLN-1601,4744 SATINWOOD TR,
4746,SATINWOOD TR,COCNUT CRK,33063,,,,,,,610705,000006OT1R,ENC 1798TAMLN-1601,4746 SATINWOOD TR,
4748,SATINWOOD TR,COCNUT CRK,33063,,,,,,,610705,000006OTKW,ENC 1798TAMLN-1601,4748 SATINWOOD TR,
1793,MAPLEWOOD TR,COCNUT CRK,33063,,,,,,,610705,000006OWP0,ENC 1798TAMLN-1651,1793 MAPLEWOOD TR,
1795,MAPLEWOOD TR,COCNUT CRK,33063,,,,,,,610705,000006OVTD,ENC 1798TAMLN-1651,1795 MAPLEWOOD TR,
1797,MAPLEWOOD TR,COCNUT CRK,33063,,,,,,,610705,000006OR95,ENC 1798TAMLN-1651,1797 MAPLEWOOD TR,
1799,MAPLEWOOD TR,COCNUT CRK,33063,,,,,,,610705,000006OVFZ,ENC 1798TAMLN-1651,1799 MAPLEWOOD TR,
1801,MAPLEWOOD TR,COCNUT CRK,33063,,,,,,,610705,000006OTYG,ENC 1798TAMLN-1651,1801 MAPLEWOOD TR,
1794,SATINWOOD CIR,COCNUT CRK,33063,,,,,,,610705,000006OUJ0,ENC 1798TAMLN-1651,1794 SATINWOOD CIR,
1798,SATINWOOD CIR,COCNUT CRK,33063,,,,,,,610705,000006OVDX,ENC 1798TAMLN-1651,1798 SATINWOOD CIR,
1800,SATINWOOD CIR,COCNUT CRK,33063,,,,,,,610705,000006OSN2,ENC 1798TAMLN-1651,1800 SATINWOOD CIR,
4701,SATINWOOD TR,COCNUT CRK,33063,,,,,,,610705,000006ORBD,ENC 1798TAMLN-1651,4701 SATINWOOD TR,
