design_job_name,design_market,design_contractor,design_status,design_psa_cd,design_ecd,design_aop_clli,design_cm_project_tracking_number,design_associated_project,design_proj_num,design_no_build,design_no_build_reason,demand_id,demand_business,demand_residential,demand_provisioned,demand_fst,fst_id,fst_name,fst_build_status,fst_asset_id,dist_cluster_id,dist_cluster_type,dist_cluster_pfp_name,dist_cluster_olt_name,drop_cluster_id,drop_cluster_term_name,mdu_boundary_id,mdu_boundary_name,mdu_boundary_coil_ids,mdu_boundary_coil_notes,mdu_boundary_coil_structures,id,cbg,blockcode,ll_uuid,a_lon,a_lat,bain_use,private_access_b,commercial_b,building_b,build_cluster_b,clstrid,derived,cost_customer_location,cable_ft_hh,irr_cbg,irr_cb,f1_penetrationwithindex,lumi_archetype_cbg,lumi_archetype_cb,pct_fttp,mdu_subsid,old_build_,market,distance_to_build_sfu,att_segment,build_map_status,a_geoid,a_address,a_scity,a_county,a_state2,a_szip,a_szip5,a_carte,a_crtype,a_saddno,a_saddpref,a_saddstr,a_saddstsuf,a_saddsttyp,a_default_match,a_geocodetype,glid,gis_streetnr,gis_streetprefix,gis_streetname,gis_streettype,gis_streetsuffix,gis_postcode,gis_city,gis_stateorprovince,gis_country,gis_latitude,gis_longitude,gis_matchcode,gis_locationcode,gis_streetdirection,deleted,iqg_updated_fields,unit,sn_asset_id,no_build_reason,fiber_jack,jack_loc,inv_status,build_status,gc_classification,gis_unit_type,gis_unit_value,gis_postalcodeplus4
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,13149901,0,1,,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21493,"100' LOOP PON, 85-96 RESERVED FOR JOPLIN AVE UNITS",206438,"PON18950IA, 85-96","100' LOOP PON, 85-96 RESERVED FOR JOPLIN AVE UNITS",13149901,2.70371E+11,2.70371E+14,5c0ee1d3-a5f6-402d-81ee-eabacb07d8fc,-93.2796936,44.67802048,Res-SFU,0,0,0,1,,Unattractive,428,22,0.278219014,0,47.17902756,3.550907612,2,0.521126986,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,18764 Joplin Ave,Lakeville,DAKOTA,MN,55044-4214,55044,R009,R,18764,,Joplin,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,13149928,0,1,,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21497,"100' LOOP PON, 37-84 RESERVED FOR JONESBORO CT UNITS",206440,"PON18950IA, 37-84","100' LOOP PON, 37-84 RESERVED FOR JONESBORO CT UNITS",13149928,2.70371E+11,2.70371E+14,cd2e4a74-f782-4ebe-8f92-5cf178191cc7,-93.27918243,44.67945862,Res-SFU,0,0,0,1,,Unattractive,428,22,0.278219014,0,47.17902756,3.550907612,2,0.521126986,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,18610 Jonesboro Ct,Lakeville,DAKOTA,MN,55044-6502,55044,R009,R,18610,,Jonesboro,,Ct,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,13149895,0,1,,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21497,"100' LOOP PON, 37-84 RESERVED FOR JONESBORO CT UNITS",206440,"PON18950IA, 37-84","100' LOOP PON, 37-84 RESERVED FOR JONESBORO CT UNITS",13149895,2.70371E+11,2.70371E+14,50e54497-e828-49b6-92d5-972802366a7d,-93.27918243,44.67945862,Res-SFU,0,0,0,1,,Unattractive,428,22,0.278219014,0,47.17902756,3.550907612,2,0.521126986,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,18626 Jonesboro Ct,Lakeville,DAKOTA,MN,55044-6502,55044,R009,R,18626,,Jonesboro,,Ct,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,13150169,1,0,,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21469,"100' LOOP PON, 253-264 RESERVED FOR 185TH ST W UNITS",206433,"BCL ONLY PON18950IA, 253-264","100' LOOP PON, 253-264 RESERVED FOR 185TH ST W UNITS",13150169,2.70371E+11,2.70371E+14,6b095b7b-6a2f-4c2e-bfda-a07058bcbd22,-93.27763367,44.68054962,"Shopping, business, or trade",0,1,0,1,,Unattractive,428,22,0.278219014,0,47.17902756,3.550907612,4,0.521126986,,,"Minneapolis-St. Paul-Bloomington, MN-WI",300.0734863,D,Final,27037,10440 185th St W,Lakeville,DAKOTA,MN,55044-6681,55044,R009,R,10440,,185th,W,St,0,GCRT,,,,,,,,,,,,,,,,,build_status,Ste 300,,,,,,Planned,BCL,,,
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,13149896,1,0,,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21499,"100' LOOP PON, 13-36 RESERVED FOR JOPLIN AVE UNITS",206441,"BCL-MDU PON18950IA, 13-36","100' LOOP PON, 13-36 RESERVED FOR JOPLIN AVE UNITS",13149896,2.70371E+11,2.70371E+14,5137f644-49cf-4aec-bba7-65ed1dbe8077,-93.28044128,44.68074036,"Shopping, business, or trade",0,1,0,1,,Unattractive,428,22,0.278219014,0,47.17902756,3.550907612,2,0.521126986,,,"Minneapolis-St. Paul-Bloomington, MN-WI",244.1425934,D,Final,27037,18550 Joplin Ave,Lakeville,DAKOTA,MN,55044-4218,55044,R009,R,18550,,Joplin,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,BCL,,,
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,13149888,0,1,,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21497,"100' LOOP PON, 37-84 RESERVED FOR JONESBORO CT UNITS",206440,"PON18950IA, 37-84","100' LOOP PON, 37-84 RESERVED FOR JONESBORO CT UNITS",13149888,2.70371E+11,2.70371E+14,2e6201e2-636b-4a98-a1a8-767f8245c74b,-93.27918243,44.67945862,Res-SFU,0,0,0,1,,Unattractive,428,22,0.278219014,0,47.17902756,3.550907612,2,0.521126986,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,D,Final,27037,18639 Jonesboro Ct,Lakeville,DAKOTA,MN,55044-6500,55044,R009,R,18639,,Jonesboro,,Ct,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,13150170,1,0,,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21469,"100' LOOP PON, 253-264 RESERVED FOR 185TH ST W UNITS",206433,"BCL ONLY PON18950IA, 253-264","100' LOOP PON, 253-264 RESERVED FOR 185TH ST W UNITS",13150170,2.70371E+11,2.70371E+14,6b095b7b-6a2f-4c2e-bfda-a07058bcbd22,-93.27728271,44.68072891,"Shopping, business, or trade",0,1,0,1,,Unattractive,428,22,0.278219014,0,47.17902756,3.550907612,4,0.521126986,,,"Minneapolis-St. Paul-Bloomington, MN-WI",328.6134033,D,Final,27037,10450 185th St W,Lakeville,DAKOTA,MN,55044-6696,55044,R009,R,10450,,185th,W,St,0,PC,,,,,,,,,,,,,,,,,build_status,Ste 100,,,,,,Planned,BCL,,,
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,13164683,0,1,,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21491,F 18873 KENWOOD DR HH,,,,13164683,2.70371E+11,2.70371E+14,d19a76a2-5123-41d8-80dd-acabdc92f5ee,-93.27864838,44.67589188,Res-SFU,0,0,0,1,,CBG Clustered,2813,154,0.077209003,0,39.07154083,5.1147542,6,0.188718006,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,C,Final,27037,18899 Kenwood Trl,Lakeville,DAKOTA,MN,55044-9258,55044,R009,R,18899,,Kenwood,,Trl,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,13150284,1,0,,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21469,"100' LOOP PON, 253-264 RESERVED FOR 185TH ST W UNITS",206433,"BCL ONLY PON18950IA, 253-264","100' LOOP PON, 253-264 RESERVED FOR 185TH ST W UNITS",13150284,2.70371E+11,2.70371E+14,b660b8c2-2c55-46c9-81c3-4414fbfa9b1d,-93.27632141,44.68072128,"Shopping, business, or trade",0,1,0,1,,Unattractive,428,22,0.278219014,0,47.17902756,3.550907612,4,0.521126986,,,"Minneapolis-St. Paul-Bloomington, MN-WI",242.694397,D,Final,27037,10438 185th St W,Lakeville,DAKOTA,MN,55044-5307,55044,R009,R,10438,,185th,W,St,0,PC,,,,,,,,,,,,,,,,,build_status,Ste 200,,,,,,Planned,BCL,,,
PSA-3802PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,3802PA,3/31/2024,BRVLMNYF,ATT-9364,,MIN001.G0000487,FALSE,,13149943,0,1,,No,,,,,5187,64,S 18950 IRVONA AVE PFP,BRVLMNYF,,,21497,"100' LOOP PON, 37-84 RESERVED FOR JONESBORO CT UNITS",206440,"PON18950IA, 37-84","100' LOOP PON, 37-84 RESERVED FOR JONESBORO CT UNITS",13149943,2.70371E+11,2.70371E+14,2995a321-8ef1-4d50-90d4-856ad6fc600c,-93.28044891,44.67916107,Res-SFU,0,0,0,1,,Unattractive,428,22,0.278219014,0,47.17902756,3.550907612,2,0.521126986,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0,C,Final,27037,18695 Joplin Ave,Lakeville,DAKOTA,MN,55044-4220,55044,R009,R,18695,,Joplin,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
